case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,multi_mic_vs_baseline_ratio,multi_mic_vs_dynamic_ratio
cal176,0.19,0.92,0.98,1.57,1.0,0.5,1.04,0.95,0.12,0.79,4.842105263157895,5.157894736842105,0.9387755102040817,0.5859872611464968,0.6242038216560509,0.92,1.84,0.98,1.96,0.8846153846153846,0.9684210526315791,1.0315789473684212,7.666666666666667,8.166666666666666
6s33,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.02,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180000.0,180000.0
6s403rb1342,0.04,0.5,0.64,1.21,0.51,0.08,0.55,0.5,0.51,0.98,12.5,16.0,0.78125,0.4132231404958678,0.5289256198347108,0.9803921568627451,6.25,1.2549019607843137,8.0,0.9090909090909091,1.0,1.28,0.9803921568627451,1.2549019607843137
6s105,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.05,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72000.0,72000.0
power2eq32768,0.0,14.35,14.26,13.12,12.81,17.12,17.15,13.66,0.01,39.77,inf,inf,1.0063113604488079,1.09375,1.086890243902439,1.1202185792349726,0.8382009345794392,1.1131928181108508,0.8329439252336448,0.8367346938775511,1.0505124450951684,1.0439238653001464,1435.0,1426.0
vcegar_QF_BV_pj_icu_icctl_p3,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,,inf,0.0,0.0,0.5,,,inf,inf,,,inf,,inf
qspiflash_dualflexpress_divfive-p093,0.0,2.1,1.77,1.12,3.16,0.9,0.97,4.9,1.21,4.12,inf,inf,1.1864406779661016,1.875,1.5803571428571428,0.6645569620253164,2.3333333333333335,0.560126582278481,1.9666666666666666,2.1649484536082477,0.42857142857142855,0.36122448979591837,1.7355371900826448,1.462809917355372
nusmvtcasp5,0.01,1.3,1.34,1.07,1.95,87.41,1.0,1.84,0.52,2.63,130.0,134.0,0.9701492537313433,1.2149532710280373,1.2523364485981308,0.6666666666666667,0.014872440224230638,0.6871794871794872,0.015330053769591581,1.3,0.7065217391304348,0.7282608695652174,2.5,2.576923076923077
6s330rb06,0.06,0.13,0.15,0.93,0.14,0.24,0.14,0.14,0.14,0.14,2.166666666666667,2.5,0.8666666666666667,0.13978494623655913,0.16129032258064516,0.9285714285714285,0.5416666666666667,1.0714285714285714,0.625,0.9285714285714285,0.9285714285714285,1.0714285714285714,0.9285714285714285,1.0714285714285714
6s40p0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.38,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9473.684210526315,9473.684210526315
picorv32-check-p19,0.03,0.14,0.14,0.29,0.14,0.03,0.14,0.14,0.07,0.35,4.666666666666667,4.666666666666667,1.0,0.48275862068965525,0.48275862068965525,1.0,4.666666666666667,1.0,4.666666666666667,1.0,1.0,1.0,2.0,2.0
qspiflash_dualflexpress_divthree-p030,0.0,7.04,13.14,13.79,6.41,3.03,26.83,10.67,0.02,3.93,inf,inf,0.5357686453576864,0.5105148658448151,0.95286439448876,1.0982839313572543,2.3234323432343236,2.0499219968798754,4.336633663366337,0.2623928438315319,0.6597938144329897,1.231490159325211,352.0,657.0
qspiflash_dualflexpress_divthree-p138,0.0,3.95,4.06,1.37,3.51,2.73,4.56,3.82,0.16,25.95,inf,inf,0.9729064039408868,2.8832116788321165,2.9635036496350358,1.1253561253561255,1.4468864468864469,1.1566951566951567,1.487179487179487,0.8662280701754387,1.0340314136125655,1.06282722513089,24.6875,25.374999999999996
power2sum128,0.0,0.09,0.11,0.15,0.11,0.07,0.09,0.12,0.01,0.17,inf,inf,0.8181818181818181,0.6,0.7333333333333334,0.8181818181818181,1.2857142857142856,1.0,1.5714285714285714,1.0,0.75,0.9166666666666667,9.0,11.0
cal129,0.19,8.44,7.6,8.13,7.27,5.42,9.49,7.65,2.91,9.99,44.421052631578945,40.0,1.1105263157894736,1.038130381303813,0.9348093480934808,1.1609353507565336,1.5571955719557196,1.045392022008253,1.4022140221402213,0.8893572181243413,1.103267973856209,0.9934640522875816,2.9003436426116833,2.6116838487972505
cal153,0.08,9.39,10.22,9.88,8.46,6.43,8.67,9.16,4.97,11.24,117.375,127.75,0.9187866927592955,0.9504048582995951,1.034412955465587,1.1099290780141844,1.4603421461897357,1.2080378250591015,1.589424572317263,1.083044982698962,1.025109170305677,1.1157205240174672,1.8893360160965798,2.0563380281690145
fastfir-p069,0.25,0.57,0.57,1.3,0.69,0.49,0.38,0.83,0.43,1.81,2.28,2.28,1.0,0.4384615384615384,0.4384615384615384,0.8260869565217391,1.163265306122449,0.8260869565217391,1.163265306122449,1.4999999999999998,0.6867469879518072,0.6867469879518072,1.3255813953488371,1.3255813953488371
imgfifo-p109,0.01,0.1,0.1,0.14,0.1,0.02,0.1,0.1,0.07,0.47,10.0,10.0,1.0,0.7142857142857143,0.7142857142857143,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.4285714285714286,1.4285714285714286
fastfir-p114,0.08,4.95,5.33,5.54,4.93,6.68,5.31,6.02,0.22,9.94,61.875,66.625,0.9287054409005628,0.8935018050541517,0.9620938628158845,1.004056795131846,0.7410179640718564,1.081135902636917,0.7979041916167665,0.9322033898305085,0.8222591362126247,0.8853820598006645,22.5,24.227272727272727
cal139,0.07,8.57,7.17,8.23,9.44,4.45,8.88,8.5,4.95,6.84,122.42857142857142,102.42857142857142,1.195258019525802,1.0413122721749697,0.8712029161603888,0.9078389830508475,1.9258426966292135,0.7595338983050848,1.6112359550561797,0.9650900900900901,1.0082352941176471,0.8435294117647059,1.7313131313131314,1.4484848484848485
usb_phy,0.0,0.02,0.02,0.04,0.03,0.03,0.02,0.02,0.01,0.03,inf,inf,1.0,0.5,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,2.0,2.0
bobsmmips,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1113.74,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2323522545656975,3.2323522545656975
qspiflash_dualflexpress_divfive-p157,3600.0,13.77,16.26,11.17,59.46,14.49,20.17,20.77,5.52,26.85,0.003825,0.004516666666666667,0.8468634686346862,1.2327663384064458,1.4556848701880036,0.2315842583249243,0.9503105590062111,0.27346115035317864,1.122153209109731,0.6826970748636588,0.6629754453538758,0.7828598940779972,2.4945652173913047,2.945652173913044
cal93,2.19,60.95,70.84,81.08,66.93,31.09,77.14,80.94,68.97,80.0,27.831050228310506,32.34703196347032,0.8603896103896104,0.7517266896891959,0.8737049827331032,0.9106529209621993,1.9604374396912192,1.0584192439862543,2.27854615632036,0.7901218563650506,0.7530269335310107,0.8752162095379294,0.8837175583587067,1.0271132376395535
qspiflash_qflexpress_divfive-p100,0.0,2.77,2.75,2.64,3.04,4.52,2.58,3.1,0.19,2.53,inf,inf,1.0072727272727273,1.0492424242424243,1.0416666666666665,0.9111842105263158,0.6128318584070797,0.9046052631578947,0.6084070796460177,1.073643410852713,0.8935483870967742,0.8870967741935484,14.578947368421053,14.473684210526315
pdtvisbakery1,0.01,0.19,0.19,0.19,0.23,15.4,0.15,0.23,0.01,0.33,19.0,19.0,1.0,1.0,1.0,0.8260869565217391,0.012337662337662338,0.8260869565217391,0.012337662337662338,1.2666666666666668,0.8260869565217391,0.8260869565217391,19.0,19.0
pdtvisvsar21,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,,,inf,inf,,,inf,,inf
intel043,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,323.55,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.126564673157162,11.126564673157162
pdtswvroz10x6p1,0.0,0.15,0.15,0.16,0.14,1.2,0.14,0.14,0.01,0.34,inf,inf,1.0,0.9375,0.9375,1.0714285714285714,0.125,1.0714285714285714,0.125,1.0714285714285714,1.0714285714285714,1.0714285714285714,15.0,15.0
bc57sensorsp2,0.0,10.65,10.9,17.37,17.7,223.68,11.2,17.92,0.07,11.27,inf,inf,0.9770642201834863,0.613126079447323,0.6275187104202649,0.6016949152542374,0.047612660944206006,0.6158192090395481,0.04873032904148784,0.9508928571428572,0.5943080357142857,0.6082589285714285,152.14285714285714,155.7142857142857
cal141,0.09,8.92,10.99,8.17,10.02,5.84,8.53,8.48,10.33,9.22,99.11111111111111,122.11111111111111,0.8116469517743403,1.0917992656058753,1.3451652386780906,0.8902195608782435,1.5273972602739727,1.096806387225549,1.8818493150684932,1.0457209847596718,1.0518867924528301,1.2959905660377358,0.8635043562439496,1.063891577928364
qspiflash_dualflexpress_divfive-p059,0.0,5.97,5.01,7.14,6.6,5.82,9.75,7.52,0.05,5.99,inf,inf,1.1916167664670658,0.8361344537815126,0.7016806722689075,0.9045454545454545,1.0257731958762886,0.7590909090909091,0.8608247422680412,0.6123076923076923,0.7938829787234043,0.6662234042553191,119.39999999999999,100.19999999999999
atxfifo-p26,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,,inf,0.0,0.0,1.0,,,inf,inf,,,inf,,inf
qspiflash_dualflexpress_divthree-p094,0.01,2.94,5.72,7.02,11.65,9.87,5.16,13.75,0.02,18.98,294.0,572.0,0.513986013986014,0.4188034188034188,0.8148148148148149,0.25236051502145923,0.29787234042553196,0.4909871244635193,0.5795339412360689,0.5697674418604651,0.21381818181818182,0.416,147.0,286.0
bob9234spec6neg,0.0,0.45,2.24,0.95,0.49,130.55,1.04,0.49,0.01,2.92,inf,inf,0.20089285714285712,0.4736842105263158,2.3578947368421055,0.9183673469387755,0.0034469551895825352,4.571428571428572,0.017158176943699734,0.4326923076923077,0.9183673469387755,4.571428571428572,45.0,224.00000000000003
6s52,0.0,3600.0,198.41,3600.0,1739.41,3600.0,3600.0,3600.0,0.01,176.87,inf,inf,18.14424676175596,1.0,0.055113888888888886,2.0696673009813673,1.0,0.11406741366325363,0.055113888888888886,1.0,1.0,0.055113888888888886,360000.0,19841.0
qspiflash_dualflexpress_divthree-p081,0.0,126.24,25.34,11.98,14.24,12.85,10.71,11.41,2.93,21.75,inf,inf,4.981846882399369,10.537562604340566,2.1151919866444073,8.865168539325841,9.824124513618678,1.7794943820224718,1.9719844357976655,11.787114845938374,11.063978965819455,2.2208588957055215,43.08532423208191,8.648464163822526
picorv32_mutBY_nomem-p6,3600.0,3600.0,1181.97,3600.0,3600.0,3600.0,3600.0,954.47,0.28,1702.94,1.0,0.32832500000000003,3.0457625828066703,1.0,0.32832500000000003,1.0,1.0,0.32832500000000003,0.32832500000000003,1.0,3.7717267174452838,1.2383521745052228,12857.142857142855,4221.321428571428
sw_loop,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,inf
fastfir-p089,0.08,5.26,4.31,5.39,4.85,7.5,6.68,5.54,1.63,10.31,65.75,53.87499999999999,1.2204176334106729,0.9758812615955473,0.7996289424860853,1.084536082474227,0.7013333333333333,0.8886597938144329,0.5746666666666667,0.7874251497005988,0.9494584837545126,0.7779783393501805,3.226993865030675,2.644171779141104
qspiflash_dualflexpress_divthree-p121,0.01,42.61,37.35,22.62,42.56,39.53,47.65,35.77,2.02,10.67,4261.0,3735.0,1.140829986613119,1.883731211317418,1.6511936339522546,1.0011748120300752,1.0779155072097142,0.8775845864661654,0.9448520111307868,0.8942287513116475,1.1912216941571148,1.044171093094772,21.094059405940595,18.49009900990099
picorv32_mutCX_nomem-p3,3600.0,3600.0,1393.43,3600.0,3600.0,3600.0,3600.0,913.57,0.2,1013.39,1.0,0.38706388888888893,2.5835528157137424,1.0,0.38706388888888893,1.0,1.0,0.38706388888888893,0.38706388888888893,1.0,3.9405847389909914,1.5252580535700604,18000.0,6967.15
pdtvisns3p06,0.01,0.27,0.27,0.26,0.23,0.11,0.39,0.23,0.21,4.25,27.0,27.0,1.0,1.0384615384615385,1.0384615384615385,1.173913043478261,2.4545454545454546,1.173913043478261,2.4545454545454546,0.6923076923076923,1.173913043478261,1.173913043478261,1.2857142857142858,1.2857142857142858
beemptrsn4b1,3600.0,796.01,732.31,1692.77,935.62,693.85,1667.45,750.58,0.15,3600.0,0.2211138888888889,0.20341944444444443,1.0869850200051892,0.4702410841401962,0.43261045505296053,0.8507834377204421,1.1472364343878358,0.782700241551057,1.055429847949845,0.47738163063360217,1.0605265261531083,0.9756588238428947,5306.733333333334,4882.066666666667
bob9234spec5neg,0.0,0.36,0.32,0.37,0.46,310.01,0.29,0.5,0.01,0.42,inf,inf,1.125,0.9729729729729729,0.8648648648648649,0.7826086956521738,0.001161252862810877,0.6956521739130435,0.001032224766943002,1.2413793103448276,0.72,0.64,36.0,32.0
6s385rb267,0.17,5.97,6.83,7.17,5.76,2.8,5.94,7.12,6.24,6.43,35.11764705882352,40.17647058823529,0.8740849194729136,0.8326359832635983,0.9525801952580195,1.0364583333333333,2.132142857142857,1.1857638888888888,2.4392857142857145,1.005050505050505,0.8384831460674157,0.9592696629213483,0.9567307692307692,1.094551282051282
qspiflash_qflexpress_divfive-p051,0.0,0.18,0.18,0.2,0.19,0.18,0.21,0.17,0.02,0.19,inf,inf,1.0,0.8999999999999999,0.8999999999999999,0.9473684210526315,1.0,0.9473684210526315,1.0,0.8571428571428571,1.0588235294117645,1.0588235294117645,9.0,9.0
139463p0,0.2,0.24,0.24,0.34,0.23,0.05,0.24,0.28,0.23,0.4,1.2,1.2,1.0,0.7058823529411764,0.7058823529411764,1.0434782608695652,4.8,1.0434782608695652,4.8,1.0,0.857142857142857,0.857142857142857,1.0434782608695652,1.0434782608695652
oski15a14b13s,0.05,0.11,0.11,0.5,0.11,0.05,0.11,0.11,0.1,0.08,2.1999999999999997,2.1999999999999997,1.0,0.22,0.22,1.0,2.1999999999999997,1.0,2.1999999999999997,1.0,1.0,1.0,1.0999999999999999,1.0999999999999999
texasifetch1p3,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,1.0,,,inf,inf,,,inf,,inf
shift1add524288,3600.0,855.47,859.65,721.16,902.89,0.0,878.66,900.93,0.03,2413.75,0.23763055555555557,0.23879166666666665,0.9951375559820858,1.1862416107382552,1.1920378279438681,0.9474797594391344,inf,0.9521093377930866,inf,0.9736075387521909,0.9495410298247368,0.9541806799640372,28515.666666666668,28655.0
6s134,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.08,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45000.0,45000.0
nusmvtcastp1,0.01,0.42,0.43,0.36,0.64,2.19,0.48,0.69,0.28,0.73,42.0,43.0,0.9767441860465116,1.1666666666666667,1.1944444444444444,0.65625,0.1917808219178082,0.671875,0.1963470319634703,0.875,0.6086956521739131,0.6231884057971014,1.4999999999999998,1.5357142857142856
a08-p3,3600.0,3600.0,3600.0,3600.0,3600.0,698.29,3600.0,3600.0,0.01,139.32,1.0,1.0,1.0,1.0,1.0,1.0,5.155451173581177,1.0,5.155451173581177,1.0,1.0,1.0,360000.0,360000.0
dme6p1,0.01,0.04,0.05,0.07,0.04,0.08,0.04,0.05,0.04,0.04,4.0,5.0,0.7999999999999999,0.5714285714285714,0.7142857142857143,1.0,0.5,1.25,0.625,1.0,0.7999999999999999,1.0,1.0,1.25
qspiflash_dualflexpress_divfive-p163,0.0,18.22,18.19,9.23,25.08,8.53,8.46,17.9,12.26,28.38,inf,inf,1.0016492578339746,1.9739978331527626,1.9707475622968582,0.726475279106858,2.1359906213364597,0.7252791068580543,2.132473622508793,2.1536643026004723,1.017877094972067,1.016201117318436,1.4861337683523654,1.4836867862969005
analog_estimation_convergence,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.73,inf,inf,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,inf,inf
6s31,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.02,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180000.0,180000.0
pdtswvrod6x8p1,3600.0,362.88,371.49,3600.0,3600.0,3600.0,23.68,3600.0,0.04,0.59,0.1008,0.10319166666666667,0.9768230638778971,0.1008,0.10319166666666667,0.1008,0.1008,0.10319166666666667,0.10319166666666667,15.324324324324325,0.1008,0.10319166666666667,9072.0,9287.25
bobsmi2c,0.0,3600.0,3600.0,3600.0,2.37,909.42,1.64,1.83,2.89,2.57,inf,inf,1.0,1.0,1.0,1518.987341772152,3.958566998746454,1518.987341772152,3.958566998746454,2195.1219512195125,1967.2131147540983,1967.2131147540983,1245.674740484429,1245.674740484429
eijkS510,0.0,0.75,0.75,0.75,0.76,1.12,0.69,0.81,0.59,0.74,inf,inf,1.0,1.0,1.0,0.9868421052631579,0.6696428571428571,0.9868421052631579,0.6696428571428571,1.0869565217391306,0.9259259259259258,0.9259259259259258,1.2711864406779663,1.2711864406779663
intel034,0.03,178.14,282.95,1922.86,659.58,3600.0,617.3,2126.5,10.56,251.34,5938.0,9431.666666666666,0.6295811980915356,0.09264325015861789,0.14715059858752066,0.27008096061129805,0.04948333333333333,0.4289851117377725,0.07859722222222222,0.2885792969382796,0.08377145544321654,0.13305901716435456,16.86931818181818,26.794507575757574
ndista128,0.0,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.0,0.06,inf,inf,0.6666666666666667,1.0,1.5,1.0,0.6666666666666667,1.5,1.0,1.0,1.0,1.5,inf,inf
power2bit128,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.03,inf,inf,0.5,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,inf,inf
eijks420,0.01,1.14,1.14,1.04,0.85,1.41,1.3,0.84,0.02,3.26,113.99999999999999,113.99999999999999,1.0,1.096153846153846,1.096153846153846,1.3411764705882352,0.8085106382978723,1.3411764705882352,0.8085106382978723,0.8769230769230768,1.357142857142857,1.357142857142857,56.99999999999999,56.99999999999999
oski15a14b09s,0.05,0.12,0.11,0.54,0.11,0.05,0.1,0.11,0.1,0.08,2.4,2.1999999999999997,1.0909090909090908,0.2222222222222222,0.2037037037037037,1.0909090909090908,2.4,1.0,2.1999999999999997,1.2,1.0909090909090908,1.0,1.2,1.0999999999999999
6s122,3600.0,1240.66,290.93,237.86,127.85,3600.0,19.81,84.65,0.61,137.31,0.3446277777777778,0.0808138888888889,4.264462241776372,5.21592533423022,1.223114437063819,9.704028157997655,0.3446277777777778,2.275557293703559,0.0808138888888889,62.627965673902075,14.6563496751329,3.436857649143532,2033.8688524590166,476.93442622950823
pdtswvqis8x8p1,0.01,1.14,1.14,0.62,0.42,5.25,1.52,0.43,0.02,0.6,113.99999999999999,113.99999999999999,1.0,1.8387096774193548,1.8387096774193548,2.714285714285714,0.21714285714285714,2.714285714285714,0.21714285714285714,0.7499999999999999,2.6511627906976742,2.6511627906976742,56.99999999999999,56.99999999999999
pdtvisns2p3,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
v_DAIO,0.0,0.03,0.03,0.04,0.03,0.02,0.03,0.03,0.0,0.03,inf,inf,1.0,0.75,0.75,1.0,1.5,1.0,1.5,1.0,1.0,1.0,inf,inf
rether.4.prop1-back-serstep,0.01,1.64,1.64,5.25,2.95,5.65,0.83,3.03,1.45,6.24,164.0,164.0,1.0,0.31238095238095237,0.31238095238095237,0.5559322033898304,0.29026548672566366,0.5559322033898304,0.29026548672566366,1.9759036144578312,0.5412541254125413,0.5412541254125413,1.1310344827586207,1.1310344827586207
pdtvisrethersqo4,0.0,0.9,0.74,0.55,0.87,2.76,0.57,0.87,0.01,1.47,inf,inf,1.2162162162162162,1.6363636363636362,1.3454545454545452,1.0344827586206897,0.3260869565217392,0.8505747126436781,0.26811594202898553,1.5789473684210529,1.0344827586206897,0.8505747126436781,90.0,74.0
6s292rb024,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.05,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72000.0,72000.0
6s361rb52584,2.06,0.02,0.02,30.39,0.02,0.01,0.02,0.02,0.01,0.03,0.009708737864077669,0.009708737864077669,1.0,0.0006581112207963146,0.0006581112207963146,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
pdtswvroz8x8p2,0.0,0.44,0.43,0.42,0.41,1.14,0.45,0.4,0.01,0.55,inf,inf,1.0232558139534884,1.0476190476190477,1.0238095238095237,1.0731707317073171,0.3859649122807018,1.048780487804878,0.37719298245614036,0.9777777777777777,1.0999999999999999,1.075,44.0,43.0
fastfir-p033,0.08,1.62,1.73,1.83,1.63,1.43,1.67,1.84,0.97,3.06,20.25,21.625,0.9364161849710984,0.8852459016393442,0.9453551912568305,0.9938650306748468,1.132867132867133,1.0613496932515338,1.2097902097902098,0.970059880239521,0.8804347826086957,0.9402173913043478,1.6701030927835052,1.7835051546391754
fastfir-p001,0.03,2.89,2.94,3.06,2.91,4.55,2.82,3.13,0.26,5.93,96.33333333333334,98.0,0.9829931972789117,0.9444444444444444,0.9607843137254901,0.993127147766323,0.6351648351648352,1.0103092783505154,0.6461538461538462,1.024822695035461,0.9233226837060704,0.939297124600639,11.115384615384615,11.307692307692307
oc8051xiommuo5,0.01,7.21,6.98,12.9,10.92,3.44,16.13,8.39,0.03,6.51,721.0,698.0,1.0329512893982806,0.5589147286821705,0.5410852713178295,0.6602564102564102,2.0959302325581395,0.6391941391941393,2.0290697674418605,0.44699318040917546,0.8593563766388557,0.831942789034565,240.33333333333334,232.66666666666669
bobtuint06neg,0.0,0.03,0.04,0.06,0.03,0.01,0.03,0.03,0.03,0.03,inf,inf,0.75,0.5,0.6666666666666667,1.0,3.0,1.3333333333333335,4.0,1.0,1.0,1.3333333333333335,1.0,1.3333333333333335
intersymbol_analog_estimation_convergence,0.01,18.85,5.05,21.25,36.29,1780.58,22.05,5.64,0.03,265.6,1885.0,505.0,3.732673267326733,0.8870588235294118,0.2376470588235294,0.5194268393496831,0.010586438126902471,0.13915679250482227,0.002836154511451325,0.854875283446712,3.342198581560284,0.8953900709219859,628.3333333333334,168.33333333333334
pdtvisvsar31,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,0.5,,,inf,inf,,,inf,,inf
bobsynth13neg,0.01,1.15,1.44,1.13,0.72,4.87,1.19,0.83,0.02,0.26,114.99999999999999,144.0,0.798611111111111,1.0176991150442478,1.2743362831858407,1.597222222222222,0.2361396303901437,2.0,0.29568788501026694,0.9663865546218487,1.3855421686746987,1.7349397590361446,57.49999999999999,72.0
6s53,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.01,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360000.0,360000.0
shift1add2048,0.0,0.27,0.27,0.28,0.28,0.0,0.32,0.28,0.01,0.72,inf,inf,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,inf,0.9642857142857143,inf,0.84375,0.9642857142857143,0.9642857142857143,27.0,27.0
power2eq262144,3600.0,257.83,248.96,268.06,208.72,103.25,244.7,222.86,0.02,549.4,0.07161944444444444,0.06915555555555555,1.0356282133676091,0.9618369021860776,0.928747295381631,1.2352912993484093,2.497142857142857,1.192794174013032,2.4112348668280874,1.053657539844708,1.156914654940321,1.1171138831553442,12891.499999999998,12448.0
bob9234spec4neg,0.0,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.0,0.08,inf,inf,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,inf,inf
6s405rb015,0.17,4.19,4.49,6.6,4.5,0.4,4.41,4.49,4.44,7.94,24.647058823529413,26.41176470588235,0.9331848552338531,0.634848484848485,0.6803030303030304,0.9311111111111112,10.475,0.9977777777777779,11.225,0.9501133786848073,0.9331848552338531,1.0,0.9436936936936937,1.0112612612612613
139443p0,0.06,0.07,0.08,0.12,0.07,0.01,0.07,0.08,0.07,0.08,1.1666666666666667,1.3333333333333335,0.8750000000000001,0.5833333333333334,0.6666666666666667,1.0,7.000000000000001,1.1428571428571428,8.0,1.0,0.8750000000000001,1.0,1.0,1.1428571428571428
fastfir-p113,0.2,4.89,5.24,5.72,5.45,6.07,5.66,6.02,0.49,28.17,24.449999999999996,26.2,0.9332061068702289,0.8548951048951049,0.9160839160839161,0.8972477064220182,0.8056013179571663,0.9614678899082569,0.8632619439868204,0.8639575971731448,0.8122923588039868,0.8704318936877078,9.979591836734693,10.693877551020408
oc8051gm4biram,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,9.32,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,386.26609442060084,386.26609442060084
oski15a10b05s,0.09,2.07,2.12,2.5,2.08,0.44,2.36,2.3,2.07,2.04,23.0,23.555555555555557,0.9764150943396225,0.828,0.8480000000000001,0.9951923076923076,4.704545454545454,1.0192307692307692,4.818181818181818,0.8771186440677966,0.9,0.9217391304347827,1.0,1.0241545893719808
pdtvismiim6,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.03,inf,inf,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,inf
6s416r,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.4,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9000.0,9000.0
picorv32_mutAX_nomem-p0,3600.0,3600.0,526.36,3600.0,3600.0,3600.0,3600.0,775.45,47.18,729.85,1.0,0.14621111111111113,6.839425488258986,1.0,0.14621111111111113,1.0,1.0,0.14621111111111113,0.14621111111111113,1.0,4.642465665097685,0.678780063189116,76.30351844001696,11.156422212802035
eijkbs4863,0.06,0.79,0.78,0.77,0.85,0.9,0.97,1.1,0.4,1.06,13.166666666666668,13.000000000000002,1.0128205128205128,1.025974025974026,1.012987012987013,0.9294117647058824,0.8777777777777778,0.9176470588235295,0.8666666666666667,0.8144329896907218,0.7181818181818181,0.7090909090909091,1.975,1.95
beemfwt3f3,0.03,3600.0,44.74,3600.0,44.21,1564.99,174.59,28.02,0.55,29.27,120000.0,1491.3333333333335,80.46490835940992,1.0,0.012427777777777779,81.429540827867,2.300334187438897,1.0119882379552139,0.02858804209611563,20.619737671115185,128.4796573875803,1.596716630977873,6545.454545454545,81.34545454545454
